ID:f-0000000001, Claim Date: Mon Jan 02 17:46:57 ICT 2023, Insured Person: James Thao(c-0000001), Card Number: 1106031882, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Hospital Bills, Expert Opinions], Claim amount: 741, Status: NEW, Receiver Banking Info: BIDV-JamesThao-210927847534
ID:f-0000000002, Claim Date: Sat Dec 09 17:46:57 ICT 2023, Insured Person: Nguyen Thao(c-0000014), Card Number: 817707344, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Hospital Bills, Police Report], Claim amount: 477, Status: NEW, Receiver Banking Info: SHB-NguyenThao-796476130695
ID:f-0000000003, Claim Date: Sat Nov 11 17:46:57 ICT 2023, Insured Person: Nguyen Thao(c-0000014), Card Number: 817707344, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Police Report, Police Report], Claim amount: 556, Status: NEW, Receiver Banking Info: Agribank-NguyenThao-846853786546
ID:f-0000000004, Claim Date: Sat Aug 05 17:46:57 ICT 2023, Insured Person: Sins David(c-0000005), Card Number: 1068804135, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Hospital Bills, Witness Testimonies], Claim amount: 152, Status: NEW, Receiver Banking Info: Techcombank-SinsDavid-476341247303
ID:f-0000000005, Claim Date: Thu Jan 19 17:46:57 ICT 2023, Insured Person: Bryant Thao(c-0000012), Card Number: 1581857353, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Statements, Medical Records], Claim amount: 157, Status: NEW, Receiver Banking Info: Agribank-BryantThao-941972760240
ID:f-0000000006, Claim Date: Mon Jun 19 17:46:57 ICT 2023, Insured Person: Luu Son(c-0000009), Card Number: 668368481, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Statements, Photographs], Claim amount: 212, Status: NEW, Receiver Banking Info: BIDV-LuuSon-517556435524
ID:f-0000000007, Claim Date: Fri Sep 22 17:46:57 ICT 2023, Insured Person: Luu Nghia(c-0000011), Card Number: 955324018, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Diagnostic Reports, Hospital Bills], Claim amount: 341, Status: NEW, Receiver Banking Info: Techcombank-LuuNghia-672033288826
ID:f-0000000008, Claim Date: Mon May 29 17:46:57 ICT 2023, Insured Person: Tran Nghia(c-0000006), Card Number: 415181985, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Doctor's Prescription, Doctor's Prescription], Claim amount: 690, Status: NEW, Receiver Banking Info: ACB-TranNghia-194784608866
ID:f-0000000009, Claim Date: Mon Mar 20 17:46:57 ICT 2023, Insured Person: Do Duy(c-0000004), Card Number: 2111996727, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Insurance Card, Witness Statements], Claim amount: 727, Status: NEW, Receiver Banking Info: VietinBank-DoDuy-499354935263
ID:f-0000000010, Claim Date: Mon Oct 16 17:46:57 ICT 2023, Insured Person: Bryant David(c-0000003), Card Number: 1027276991, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Testimonies, Expert Opinions], Claim amount: 562, Status: NEW, Receiver Banking Info: SeABank-BryantDavid-333916437529
ID:f-0000000011, Claim Date: Fri Jan 20 17:46:57 ICT 2023, Insured Person: Nguyen Thao(c-0000014), Card Number: 817707344, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Photographs, Proof of Loss], Claim amount: 38, Status: NEW, Receiver Banking Info: Sacombank-NguyenThao-283777484516
ID:f-0000000012, Claim Date: Sun May 14 17:46:57 ICT 2023, Insured Person: Sins David(c-0000005), Card Number: 1068804135, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Testimonies, Insurance Card], Claim amount: 740, Status: NEW, Receiver Banking Info: MB Bank-SinsDavid-590294719928
ID:f-0000000013, Claim Date: Thu Nov 30 17:46:57 ICT 2023, Insured Person: Do Duy(c-0000004), Card Number: 2111996727, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Doctor's Prescription, Medical Records], Claim amount: 108, Status: NEW, Receiver Banking Info: SeABank-DoDuy-136620868865
ID:f-0000000014, Claim Date: Thu Mar 09 17:46:57 ICT 2023, Insured Person: Sins Josh(c-0000015), Card Number: 1550603599, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Insurance Card, Expert Opinions], Claim amount: 241, Status: NEW, Receiver Banking Info: SeABank-SinsJosh-112643932902
ID:f-0000000015, Claim Date: Wed Dec 13 17:46:57 ICT 2023, Insured Person: Pham Mai(c-0000010), Card Number: 68110131, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Insurance Card, Diagnostic Reports], Claim amount: 208, Status: NEW, Receiver Banking Info: Viet Capital Bank-PhamMai-064311515257
ID:f-0000000016, Claim Date: Thu Jan 19 17:46:57 ICT 2023, Insured Person: Luu Nghia(c-0000013), Card Number: 616588023, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Testimonies, Proof of Loss], Claim amount: 960, Status: NEW, Receiver Banking Info: MB Bank-LuuNghia-214859913731
ID:f-0000000017, Claim Date: Mon Nov 27 17:46:57 ICT 2023, Insured Person: Bryant Thao(c-0000012), Card Number: 1581857353, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Insurance Card, Doctor's Prescription], Claim amount: 18, Status: NEW, Receiver Banking Info: VietinBank-BryantThao-460196958202
ID:f-0000000018, Claim Date: Wed Nov 08 17:46:57 ICT 2023, Insured Person: Bryant David(c-0000003), Card Number: 1027276991, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Statements, Witness Statements], Claim amount: 891, Status: NEW, Receiver Banking Info: SHB-BryantDavid-656303378999
ID:f-0000000019, Claim Date: Mon Mar 27 17:46:57 ICT 2023, Insured Person: Luu Son(c-0000009), Card Number: 668368481, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Insurance Card, Witness Testimonies], Claim amount: 695, Status: NEW, Receiver Banking Info: VP Bank-LuuSon-716395304812
ID:f-0000000020, Claim Date: Tue Feb 14 17:46:57 ICT 2023, Insured Person: Pham Mai(c-0000010), Card Number: 68110131, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Doctor's Prescription, Treatment Plan], Claim amount: 825, Status: NEW, Receiver Banking Info: VP Bank-PhamMai-271008335121
ID:f-0000000021, Claim Date: Sat Feb 18 17:46:57 ICT 2023, Insured Person: Tran Hoang Son(c-1234567), Card Number: 1599348666, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Receipts, Hospital Bills], Claim amount: 472, Status: NEW, Receiver Banking Info: ACB-TranHoangSon-790942710831
ID:f-0000000022, Claim Date: Sun Mar 12 17:46:57 ICT 2023, Insured Person: Tran Hoang Son(c-1234567), Card Number: 1599348666, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Treatment Plan, Witness Testimonies], Claim amount: 978, Status: NEW, Receiver Banking Info: Sacombank-TranHoangSon-256939199205
ID:f-0000000023, Claim Date: Sat Sep 02 17:46:57 ICT 2023, Insured Person: Lebron James(c-1234568), Card Number: 1836154781, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Doctor's Prescription, Proof of Loss], Claim amount: 646, Status: NEW, Receiver Banking Info: SHB-LebronJames-810807996366
ID:f-0000000024, Claim Date: Thu Jun 15 17:46:57 ICT 2023, Insured Person: Lebron James(c-1234568), Card Number: 1836154781, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Statements, Treatment Plan], Claim amount: 662, Status: NEW, Receiver Banking Info: VietinBank-LebronJames-979301713440
ID:f-0000000025, Claim Date: Sat Jul 22 17:46:57 ICT 2023, Insured Person: James Thao(c-0000001), Card Number: 1106031882, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Testimonies, Expert Opinions], Claim amount: 124, Status: NEW, Receiver Banking Info: VP Bank-JamesThao-341337032462
ID:f-0000000026, Claim Date: Mon Mar 06 17:46:57 ICT 2023, Insured Person: James Thao(c-0000001), Card Number: 1106031882, Exam Date: Thu Apr 04 17:46:57 ICT 2024, Documents: [Witness Testimonies, Doctor's Prescription], Claim amount: 739, Status: NEW, Receiver Banking Info: MB Bank-JamesThao-365736120062
