ID:f-0000000001, Claim Date: Mon Jul 31 17:18:43 ICT 2023, Insured Person: Pham Dat(c-0000014), Card Number: 567743709, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Police Report, Medical Records], Claim amount: 378, Status: NEW, Receiver Banking Info: MB Bank-PhamDat-504430139698
ID:f-0000000002, Claim Date: Mon Apr 03 17:18:43 ICT 2023, Insured Person: Sins Dat(c-0000004), Card Number: 1814771847, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Proof of Loss, Doctor's Prescription], Claim amount: 561, Status: NEW, Receiver Banking Info: BIDV-SinsDat-221101399414
ID:f-0000000003, Claim Date: Tue Jul 18 17:18:43 ICT 2023, Insured Person: Sins Ha(c-0000013), Card Number: 217359202, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Diagnostic Reports, Receipts], Claim amount: 505, Status: NEW, Receiver Banking Info: SeABank-SinsHa-463257174421
ID:f-0000000004, Claim Date: Thu Mar 16 17:18:43 ICT 2023, Insured Person: Pham Dat(c-0000014), Card Number: 567743709, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Expert Opinions, Photographs], Claim amount: 435, Status: NEW, Receiver Banking Info: TPBank-PhamDat-770732850494
ID:f-0000000005, Claim Date: Sun Nov 05 17:18:43 ICT 2023, Insured Person: Pham Dat(c-0000014), Card Number: 567743709, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Hospital Bills, Claim Form], Claim amount: 840, Status: NEW, Receiver Banking Info: SeABank-PhamDat-457704826256
ID:f-0000000006, Claim Date: Thu Nov 30 17:18:43 ICT 2023, Insured Person: Sins Ha(c-0000013), Card Number: 217359202, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Witness Statements, Diagnostic Reports], Claim amount: 891, Status: NEW, Receiver Banking Info: BIDV-SinsHa-409214169306
ID:f-0000000007, Claim Date: Tue Aug 15 17:18:43 ICT 2023, Insured Person: Sins Ha(c-0000010), Card Number: 1503224647, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Medical Records, Receipts], Claim amount: 479, Status: NEW, Receiver Banking Info: VietinBank-SinsHa-459881619588
ID:f-0000000008, Claim Date: Tue Nov 14 17:18:43 ICT 2023, Insured Person: Pham Dat(c-0000014), Card Number: 567743709, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Treatment Plan, Photographs], Claim amount: 707, Status: NEW, Receiver Banking Info: TPBank-PhamDat-031476980649
ID:f-0000000009, Claim Date: Sun Aug 13 17:18:43 ICT 2023, Insured Person: Sins Ha(c-0000010), Card Number: 1503224647, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Witness Testimonies, Claim Form], Claim amount: 906, Status: NEW, Receiver Banking Info: MB Bank-SinsHa-226976557113
ID:f-0000000010, Claim Date: Wed Mar 22 17:18:43 ICT 2023, Insured Person: Tran Thao(c-0000001), Card Number: 1093834105, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Hospital Bills, Medical Records], Claim amount: 856, Status: NEW, Receiver Banking Info: VietBank-TranThao-513801173526
ID:f-0000000011, Claim Date: Sat Oct 07 17:18:43 ICT 2023, Insured Person: Sins David(c-0000003), Card Number: 856117891, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Medical Records, Insurance Card], Claim amount: 753, Status: NEW, Receiver Banking Info: ACB-SinsDavid-600349503285
ID:f-0000000012, Claim Date: Sun Sep 10 17:18:43 ICT 2023, Insured Person: Sins Duy(c-0000008), Card Number: 1419669772, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Medical Records, Hospital Bills], Claim amount: 183, Status: NEW, Receiver Banking Info: VietinBank-SinsDuy-702747623668
ID:f-0000000013, Claim Date: Sat Feb 04 17:18:43 ICT 2023, Insured Person: Do Josh(c-0000011), Card Number: 1673422048, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Doctor's Prescription, Doctor's Prescription], Claim amount: 824, Status: NEW, Receiver Banking Info: VietBank-DoJosh-375664360531
ID:f-0000000014, Claim Date: Fri Dec 15 17:18:43 ICT 2023, Insured Person: Nguyen Hai(c-0000012), Card Number: 1273188342, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Claim Form, Photographs], Claim amount: 521, Status: NEW, Receiver Banking Info: VP Bank-NguyenHai-991210724737
ID:f-0000000015, Claim Date: Sun Sep 03 17:18:43 ICT 2023, Insured Person: Sins Ha(c-0000007), Card Number: 1654344751, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Doctor's Prescription, Diagnostic Reports], Claim amount: 111, Status: NEW, Receiver Banking Info: Sacombank-SinsHa-770391771074
ID:f-0000000016, Claim Date: Mon Sep 04 17:18:43 ICT 2023, Insured Person: Sins Duy(c-0000008), Card Number: 1419669772, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Photographs, Medical Records], Claim amount: 258, Status: NEW, Receiver Banking Info: VietBank-SinsDuy-544648618758
ID:f-0000000017, Claim Date: Thu Nov 02 17:18:43 ICT 2023, Insured Person: Sins Ha(c-0000007), Card Number: 1654344751, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Proof of Loss, Witness Testimonies], Claim amount: 865, Status: NEW, Receiver Banking Info: Viet Capital Bank-SinsHa-557224532483
ID:f-0000000018, Claim Date: Fri Aug 11 17:18:43 ICT 2023, Insured Person: Do Josh(c-0000002), Card Number: 1749144072, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Hospital Bills, Expert Opinions], Claim amount: 380, Status: NEW, Receiver Banking Info: ACB-DoJosh-014522124709
ID:f-0000000019, Claim Date: Mon Oct 30 17:18:43 ICT 2023, Insured Person: Do Josh(c-0000002), Card Number: 1749144072, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Witness Testimonies, Treatment Plan], Claim amount: 196, Status: NEW, Receiver Banking Info: TPBank-DoJosh-798618502730
ID:f-0000000020, Claim Date: Mon Dec 11 17:18:43 ICT 2023, Insured Person: Sins Ha(c-0000010), Card Number: 1503224647, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Receipts, Expert Opinions], Claim amount: 436, Status: NEW, Receiver Banking Info: BIDV-SinsHa-625559117098
ID:f-0000000021, Claim Date: Thu Dec 28 17:18:43 ICT 2023, Insured Person: Tran Hoang Son(c-1234567), Card Number: 204077520, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Expert Opinions, Insurance Card], Claim amount: 973, Status: NEW, Receiver Banking Info: SHB-TranHoangSon-235730775832
ID:f-0000000022, Claim Date: Mon Jun 05 17:18:43 ICT 2023, Insured Person: Tran Hoang Son(c-1234567), Card Number: 204077520, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Doctor's Prescription, Insurance Card], Claim amount: 165, Status: NEW, Receiver Banking Info: VietinBank-TranHoangSon-710278226945
ID:f-0000000023, Claim Date: Wed Dec 06 17:18:43 ICT 2023, Insured Person: Lebron James(c-1234568), Card Number: 1880406514, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Medical Records, Diagnostic Reports], Claim amount: 530, Status: NEW, Receiver Banking Info: Vietcombank-LebronJames-154624604252
ID:f-0000000024, Claim Date: Sat Jun 24 17:18:43 ICT 2023, Insured Person: Lebron James(c-1234568), Card Number: 1880406514, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Diagnostic Reports, Receipts], Claim amount: 253, Status: NEW, Receiver Banking Info: MB Bank-LebronJames-846117282919
ID:f-0000000025, Claim Date: Sun May 28 17:18:43 ICT 2023, Insured Person: Tran Thao(c-0000001), Card Number: 1093834105, Exam Date: Thu Apr 04 17:18:43 ICT 2024, Documents: [Treatment Plan, Treatment Plan], Claim amount: 130, Status: NEW, Receiver Banking Info: TPBank-TranThao-123290080823
